ASX:VAS,Vanguard Australian Shares Index ETF (ASX:VAS),https://www.listcorp.com/asx/vas/vanguard-australian-shares-index-etf,"	12082000000",88.84,0,0,Financials
ASX:NST,Northern Star Resources Limited (ASX:NST),https://www.listcorp.com/asx/nst/northern-star-resources-limited,"	11862600000",10.36,0,0,Materials
ASX:ASX,ASX Limited (ASX:ASX),https://www.listcorp.com/asx/asx/asx-limited,"	11712500000",59.02,0,0,Financials
ASX:SOL,Washington H. Soul Pattinson and Company Limited (ASX:SOL),https://www.listcorp.com/asx/sol/washington-h.-soul-pattinson-and-company-limited,"	11587100000",32,0,0,Financials
ASX:TLC,The Lottery Corporation Limited (ASX:TLC),https://www.listcorp.com/asx/tlc/the-lottery-corporation-limited,"	11529500000",5.14,0,0,Consumer Discretionary
ASX:RMD,ResMed Inc (ASX:RMD),https://www.listcorp.com/asx/rmd/resmed-inc,"	11483500000",26.18,0,0,Health Care
ASX:AIA,Auckland International Airport Limited (ASX:AIA),https://www.listcorp.com/asx/aia/auckland-international-airport-limited,"	11161900000",7.62,0,0,Industrials
ASX:APA,APA Group (ASX:APA),https://www.listcorp.com/asx/apa/apa-group,"	10949400000",9.31,0,0,Utilities
ASX:QAN,Qantas Airways Limited (ASX:QAN),https://www.listcorp.com/asx/qan/qantas-airways-limited,"	10743400000",6.27,0,0,Industrials
ASX:CAR,Carsales.com Ltd (ASX:CAR),https://www.listcorp.com/asx/car/carsales.com-ltd,"	10492000000",27.9,0,0,Communication Services
ASX:TPG,TPG Telecom Limited (ASX:TPG),https://www.listcorp.com/asx/tpg/tpg-telecom-limited,"	10077600000",5.37,0,0,Communication Services
ASX:EDV,Endeavour Group Limited (ASX:EDV),https://www.listcorp.com/asx/edv/endeavour-group-limited,"	9993670000",5.57,0,0,Consumer Staples
ASX:SGP,Stockland (ASX:SGP),https://www.listcorp.com/asx/sgp/stockland,"	9882890000",4.12,0,0,Real Estate
ASX:SVW,Seven Group Holdings Limited (ASX:SVW),https://www.listcorp.com/asx/svw/seven-group-holdings-limited,"	9811260000",26.64,0,0,Industrials
ASX:MPL,Medibank Private Limited (ASX:MPL),https://www.listcorp.com/asx/mpl/medibank-private-limited,"	9556390000",3.47,0,0,Financials
